,compound,create_date,negative,neutral,news_media,positive,tweets_ago
95,0.0,2017-09-20 22:26:52+00:00,0.0,1.0,CNN,0.0,-95
96,0.296,2017-09-20 22:21:17+00:00,0.087,0.75,CNN,0.163,-96
97,-0.5106,2017-09-20 22:15:21+00:00,0.191,0.809,CNN,0.0,-97
98,-0.7579,2017-09-20 22:03:42+00:00,0.289,0.711,CNN,0.0,-98
99,-0.6597,2017-09-20 21:51:25+00:00,0.278,0.722,CNN,0.0,-99
0,0.0,2017-09-21 09:46:38+00:00,0.0,1.0,BBC,0.0,0
1,-0.1406,2017-09-21 08:56:05+00:00,0.079,0.921,BBC,0.0,-1
2,0.5913,2017-09-21 08:25:03+00:00,0.0,0.845,BBC,0.155,-2
3,0.3612,2017-09-21 07:53:20+00:00,0.0,0.872,BBC,0.128,-3
4,0.7351,2017-09-21 07:52:54+00:00,0.0,0.763,BBC,0.237,-4
5,0.0,2017-09-21 07:52:44+00:00,0.0,1.0,BBC,0.0,-5
6,0.4019,2017-09-21 07:52:23+00:00,0.0,0.886,BBC,0.114,-6
7,0.4019,2017-09-21 07:50:10+00:00,0.0,0.838,BBC,0.162,-7
8,0.0,2017-09-21 07:50:03+00:00,0.0,1.0,BBC,0.0,-8
9,0.0,2017-09-21 07:49:56+00:00,0.0,1.0,BBC,0.0,-9
10,0.2023,2017-09-21 07:48:03+00:00,0.153,0.647,BBC,0.2,-10
11,0.0,2017-09-21 07:30:04+00:00,0.0,1.0,BBC,0.0,-11
12,0.0,2017-09-21 07:01:01+00:00,0.0,1.0,BBC,0.0,-12
13,0.0,2017-09-21 06:38:03+00:00,0.104,0.792,BBC,0.104,-13
14,-0.3167,2017-09-20 19:42:01+00:00,0.178,0.704,BBC,0.117,-14
15,-0.6908,2017-09-20 19:05:04+00:00,0.227,0.773,BBC,0.0,-15
16,0.0,2017-09-20 18:30:03+00:00,0.0,1.0,BBC,0.0,-16
17,0.3612,2017-09-20 17:55:05+00:00,0.0,0.872,BBC,0.128,-17
18,0.7545,2017-09-20 17:32:16+00:00,0.0,0.705,BBC,0.295,-18
19,-0.6399,2017-09-20 17:19:24+00:00,0.211,0.725,BBC,0.065,-19
20,0.9059,2017-09-20 17:04:37+00:00,0.0,0.533,BBC,0.467,-20
21,0.0,2017-09-20 17:02:07+00:00,0.0,1.0,BBC,0.0,-21
22,0.5574,2017-09-20 16:27:07+00:00,0.095,0.655,BBC,0.25,-22
23,-0.3612,2017-09-20 16:03:49+00:00,0.128,0.872,BBC,0.0,-23
24,0.7506,2017-09-20 16:01:06+00:00,0.0,0.61,BBC,0.39,-24
25,0.4588,2017-09-20 15:48:05+00:00,0.0,0.842,BBC,0.158,-25
26,0.32,2017-09-20 14:04:03+00:00,0.11,0.696,BBC,0.194,-26
27,0.4812,2017-09-20 14:03:55+00:00,0.056,0.778,BBC,0.166,-27
28,0.0,2017-09-20 12:58:03+00:00,0.0,1.0,BBC,0.0,-28
29,0.7269,2017-09-20 12:35:04+00:00,0.0,0.757,BBC,0.243,-29
30,0.0,2017-09-20 12:14:04+00:00,0.0,1.0,BBC,0.0,-30
31,-0.4939,2017-09-20 11:52:03+00:00,0.151,0.849,BBC,0.0,-31
32,-0.509,2017-09-20 11:36:06+00:00,0.135,0.865,BBC,0.0,-32
33,0.0,2017-09-20 11:22:02+00:00,0.0,1.0,BBC,0.0,-33
34,0.3291,2017-09-20 11:15:03+00:00,0.073,0.797,BBC,0.13,-34
35,0.0,2017-09-20 11:09:13+00:00,0.0,1.0,BBC,0.0,-35
36,0.0,2017-09-20 11:08:29+00:00,0.0,1.0,BBC,0.0,-36
37,0.4019,2017-09-20 11:01:03+00:00,0.063,0.785,BBC,0.152,-37
38,0.0,2017-09-20 10:38:16+00:00,0.0,1.0,BBC,0.0,-38
39,0.0,2017-09-20 10:15:09+00:00,0.0,1.0,BBC,0.0,-39
40,-0.8074,2017-09-20 09:54:01+00:00,0.378,0.622,BBC,0.0,-40
41,-0.5732,2017-09-20 07:58:05+00:00,0.252,0.748,BBC,0.0,-41
42,-0.2183,2017-09-20 07:40:03+00:00,0.085,0.915,BBC,0.0,-42
43,0.2023,2017-09-20 07:38:44+00:00,0.144,0.667,BBC,0.189,-43
44,0.0,2017-09-20 07:36:52+00:00,0.0,1.0,BBC,0.0,-44
